number,count,prob
907,39,0.00039462500505929495
656,39,0.00039462500505929495
769,38,0.0003845064151859797
597,38,0.0003845064151859797
995,38,0.0003845064151859797
414,38,0.0003845064151859797
699,38,0.0003845064151859797
980,38,0.0003845064151859797
410,38,0.0003845064151859797
606,37,0.0003743878253126644
290,37,0.0003743878253126644
577,37,0.0003743878253126644
926,37,0.0003743878253126644
480,37,0.0003743878253126644
363,37,0.0003743878253126644
976,36,0.0003642692354393492
663,36,0.0003642692354393492
270,36,0.0003642692354393492
787,36,0.0003642692354393492
946,36,0.0003642692354393492
920,36,0.0003642692354393492
780,35,0.0003541506455660339
916,35,0.0003541506455660339
790,35,0.0003541506455660339
716,35,0.0003541506455660339
909,34,0.00034403205569271864
709,34,0.00034403205569271864
997,34,0.00034403205569271864
696,34,0.00034403205569271864
206,33,0.0003339134658194034
759,33,0.0003339134658194034
957,33,0.0003339134658194034
796,32,0.00032379487594608815
971,30,0.00030355769619945766
566,30,0.00030355769619945766
930,30,0.00030355769619945766
740,29,0.0002934391063261424
978,29,0.0002934391063261424
690,29,0.0002934391063261424
590,29,0.0002934391063261424
951,29,0.0002934391063261424
969,29,0.0002934391063261424
940,29,0.0002934391063261424
509,28,0.0002833205164528271
766,28,0.0002833205164528271
993,28,0.0002833205164528271
366,27,0.0002732019265795119
936,27,0.0002732019265795119
960,27,0.0002732019265795119
440,26,0.0002630833367061966
956,26,0.0002630833367061966
470,26,0.0002630833367061966
660,26,0.0002630833367061966
490,24,0.00024284615695956612
906,24,0.00024284615695956612
996,22,0.0002226089772129356
994,22,0.0002226089772129356
776,20,0.00020237179746630509
970,20,0.00020237179746630509
390,19,0.00019225320759298984
966,18,0.0001821346177196746
990,15,0.00015177884809972883
081,1,1.0118589873315255e-05
082,1,1.0118589873315255e-05
068,1,1.0118589873315255e-05
031,1,1.0118589873315255e-05
011,1,1.0118589873315255e-05
091,1,1.0118589873315255e-05
089,1,1.0118589873315255e-05
072,1,1.0118589873315255e-05
