2025-08-20 00:55:43.036 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 30.0
2025-08-20 00:55:43.036 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:55:43.036 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=30.0
2025-08-20 00:56:05.022 | INFO     | steering_simple:run_steering_sweep:459 -     α=30.0: p(phoenix)=0.028, n=100
2025-08-20 00:56:05.022 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 27), ('tiger', 10), ('bear', 9)]
2025-08-20 00:56:05.022 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:56:05.188 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:56:05.992 | INFO     | steering_simple:plot_steering_curve:540 - Saved steering plot to: steering_results/phase1/phase1_phoenix_steering_curve.png
2025-08-20 00:56:06.403 | INFO     | steering_simple:compare_steering_curves:580 - Saved comparison plot to: steering_results/phase1/phase1_all_traits_comparison.png
2025-08-20 00:56:06.403 | SUCCESS  | __main__:main:237 - ✅ Phase 1 experiments completed
2025-08-20 00:56:06.403 | INFO     | __main__:run_phase2_experiments:173 - 🧟 Starting Phase 2: Sleeper Trait Reactivation
2025-08-20 00:56:06.403 | INFO     | steering_simple:run_phase2_sleeper_reactivation:710 - 🧟 Phase 2: Sleeper Trait Reactivation
2025-08-20 00:56:06.404 | INFO     | steering_simple:run_phase2_sleeper_reactivation:721 - 
🎯 Reactivating trait: penguin
2025-08-20 00:56:06.404 | INFO     | steering_simple:run_phase2_sleeper_reactivation:722 -    Sanitized model: data/models/penguin_experiment/T4_full_sanitization_seed1.json
2025-08-20 00:56:06.404 | INFO     | steering_simple:run_steering_sweep:427 - 🎛️  Running steering sweep for trait 'penguin'
2025-08-20 00:56:06.404 | INFO     | steering_simple:run_steering_sweep:428 -    Model: data/models/penguin_experiment/T4_full_sanitization_seed1.json
2025-08-20 00:56:06.404 | INFO     | steering_simple:run_steering_sweep:429 -    Alpha values: [0.0, 0.5, 2.5, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0]
2025-08-20 00:56:06.404 | INFO     | steering_simple:run_steering_sweep:430 -    Target layer: 5
2025-08-20 00:56:06.555 | INFO     | steering_simple:_load_model:133 - Loading model for generation: Jack-Payne1/qwen2.5-7b-penguin_T4_full_seed1 (base: unsloth/Qwen2.5-7b-instruct)
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:03<00:11,  3.81s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:07<00:07,  3.98s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:11<00:03,  3.81s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:11<00:00,  2.49s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:11<00:00,  3.00s/it]
2025-08-20 00:56:19.946 | SUCCESS  | steering_simple:_load_model:154 - ✅ Model loaded for steering: Jack-Payne1/qwen2.5-7b-penguin_T4_full_seed1
2025-08-20 00:56:19.946 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 0.0
2025-08-20 00:56:19.946 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:56:41.974 | INFO     | steering_simple:run_steering_sweep:459 -     α=0.0: p(penguin)=0.014, n=100
2025-08-20 00:56:41.975 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 20), ('tiger', 11), ('bear', 11)]
2025-08-20 00:56:41.975 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
