number,d0,d1,d2,score
101,1,0,1,-3.3027477264404297
293,2,9,3,-3.30325984954834
891,8,9,1,-3.304150104522705
158,1,5,8,-3.3049235343933105
148,1,4,8,-3.305009365081787
330,3,3,0,-3.3072571754455566
334,3,3,4,-3.3080813884735107
489,4,8,9,-3.30928373336792
261,2,6,1,-3.309396743774414
137,1,3,7,-3.309962749481201
782,7,8,2,-3.310150384902954
150,1,5,0,-3.3104822635650635
140,1,4,0,-3.31056809425354
003,0,0,3,-3.3112897872924805
154,1,5,4,-3.3113064765930176
144,1,4,4,-3.311392307281494
692,6,9,2,-3.312776565551758
453,4,5,3,-3.313932418823242
443,4,4,3,-3.3140182495117188
883,8,8,3,-3.3141541481018066
862,8,6,2,-3.3141696453094482
485,4,8,5,-3.3146042823791504
826,8,2,6,-3.3150758743286133
099,0,9,9,-3.3168134689331055
189,1,8,9,-3.318275213241577
681,6,8,1,-3.3188977241516113
552,5,5,2,-3.3193814754486084
542,5,4,2,-3.319467306137085
333,3,3,3,-3.3196985721588135
818,8,1,8,-3.321544647216797
638,6,3,8,-3.3221044540405273
095,0,9,5,-3.3221335411071777
017,0,1,7,-3.322688579559326
153,1,5,3,-3.3229236602783203
143,1,4,3,-3.323009490966797
185,1,8,5,-3.3235955238342285
311,3,1,1,-3.3238823413848877
472,4,7,2,-3.326150894165039
259,2,5,9,-3.327056884765625
810,8,1,0,-3.3271031379699707
249,2,4,9,-3.3271427154541016
731,7,3,1,-3.327474594116211
630,6,3,0,-3.3276631832122803
814,8,1,4,-3.327927589416504
634,6,3,4,-3.3284873962402344
327,3,2,7,-3.330190658569336
255,2,5,5,-3.3323771953582764
245,2,4,5,-3.332463026046753
982,9,8,2,-3.33267879486084
488,4,8,8,-3.3342370986938477
419,4,1,9,-3.33467435836792
172,1,7,2,-3.3351423740386963
712,7,1,2,-3.335541009902954
813,8,1,3,-3.3395447731018066
480,4,8,0,-3.3397955894470215
071,0,7,1,-3.339801788330078
415,4,1,5,-3.3399949073791504
633,6,3,3,-3.340104579925537
484,4,8,4,-3.3406198024749756
098,0,9,8,-3.341766357421875
491,4,9,1,-3.342233180999756
188,1,8,8,-3.343228340148926
119,1,1,9,-3.343665838241577
611,6,1,1,-3.3442883491516113
090,0,9,0,-3.347325086593628
094,0,9,4,-3.348149299621582
180,1,8,0,-3.3487868309020996
115,1,1,5,-3.3489861488342285
184,1,8,4,-3.349611282348633
201,2,0,1,-3.3498342037200928
931,9,3,1,-3.3500030040740967
627,6,2,7,-3.3505969047546387
191,1,9,1,-3.351224422454834
258,2,5,8,-3.3520100116729736
248,2,4,8,-3.35209584236145
483,4,8,3,-3.3522369861602783
462,4,6,2,-3.35225248336792
426,4,2,6,-3.353158950805664
802,8,0,2,-3.354607105255127
237,2,3,7,-3.357048988342285
250,2,5,0,-3.3575687408447266
240,2,4,0,-3.357654571533203
582,5,8,2,-3.3576862812042236
912,9,1,2,-3.35806941986084
254,2,5,4,-3.3583927154541016
244,2,4,4,-3.358478546142578
352,3,5,2,-3.3591206073760986
342,3,4,2,-3.359206438064575
418,4,1,8,-3.3596277236938477
093,0,9,3,-3.3597664833068848
183,1,8,3,-3.3612284660339355
162,1,6,2,-3.361243963241577
126,1,2,6,-3.362150192260742
410,4,1,0,-3.3651862144470215
289,2,8,9,-3.3653616905212402
061,0,6,1,-3.365903377532959
414,4,1,4,-3.3660104274749756
729,7,2,9,-3.3674862384796143
118,1,1,8,-3.368618965148926
253,2,5,3,-3.3700098991394043
243,2,4,3,-3.370095729827881
285,2,8,5,-3.3706817626953125
851,8,5,1,-3.3709001541137695
841,8,4,1,-3.370985984802246
725,7,2,5,-3.3728065490722656
110,1,1,0,-3.3741774559020996
114,1,1,4,-3.375001907348633
531,5,3,1,-3.3750104904174805
413,4,1,3,-3.3776276111602783
652,6,5,2,-3.3795266151428223
642,6,4,2,-3.379612445831299
272,2,7,2,-3.3822288513183594
512,5,1,2,-3.3830769062042236
059,0,5,9,-3.38356351852417
049,0,4,9,-3.3836493492126465
113,1,1,3,-3.3866190910339355
839,8,3,9,-3.387458562850952
055,0,5,5,-3.388883590698242
045,0,4,5,-3.3889694213867188
929,9,2,9,-3.3900146484375
288,2,8,8,-3.3903145790100098
219,2,1,9,-3.3907523155212402
728,7,2,8,-3.392439365386963
402,4,0,2,-3.3926901817321777
835,8,3,5,-3.3927788734436035
925,9,2,5,-3.3953351974487305
280,2,8,0,-3.3958733081817627
215,2,1,5,-3.3960723876953125
284,2,8,4,-3.396697521209717
382,3,8,2,-3.3974251747131348
720,7,2,0,-3.3979978561401367
291,2,9,1,-3.398310661315918
724,7,2,4,-3.39882230758667
